icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,squawk,spi,position_source,pulled_at
4bc84e,PGT713L ,Turkey,1783319247,1783319514,36.7433,40.1689,10972.8,False,208.6,277.51,0.0,11468.1,5175,False,0,1783319704
4bc84f,PGT2286 ,Turkey,1783318493,1783318495,29.5435,40.7158,3329.94,False,171.82,160.59,6.5,3467.1,,False,0,1783318496
4bc84f,PGT2286 ,Turkey,1783318798,1783318798,29.6301,40.1994,7056.12,False,202.7,233.57,10.4,7338.06,,False,0,1783318799
4bc850,PGT56HA ,Turkey,1783318495,1783318495,27.8471,42.4511,10972.8,False,215.98,300.96,0.0,11330.94,5356,False,0,1783318496
4bc850,PGT56HA ,Turkey,1783318705,1783318799,27.4221,42.7064,10972.8,False,55.95,57.77,-0.33,10012.68,5356,False,0,1783318799
4bc850,PGT56HA ,Turkey,1783319036,1783319100,29.3457,41.9695,10972.8,False,56.07,303.4,0.0,10012.68,5356,False,0,1783319101
4bc850,PGT56HA ,Turkey,1783319156,1783319400,32.5825,42.8835,10972.8,False,56.16,335.08,-0.33,10012.68,5356,False,0,1783319400
4bc850,PGT56HA ,Turkey,1783319156,1783319704,32.5825,42.8835,10972.8,False,56.03,193.27,0.0,10012.68,5356,False,0,1783319704
4bc850,PGT56HA ,Turkey,1783319156,1783320001,32.5825,42.8835,10972.8,False,55.8,247.22,0.0,10012.68,5356,False,0,1783320002
4bc854,PGT48HQ ,Turkey,1783318495,1783318495,29.5555,40.9889,2407.92,False,135.52,64.12,13.98,2522.22,,False,0,1783318496
4bc854,PGT48HQ ,Turkey,1783318798,1783318798,29.1931,41.2885,6111.24,False,204.95,305.09,12.35,6339.84,,False,0,1783318799
4bc854,PGT48HQ ,Turkey,1783319004,1783319101,28.766,41.5132,8740.14,False,221.05,304.76,8.13,8412.48,2372,False,0,1783319101
4bc854,PGT48HQ ,Turkey,1783319399,1783319400,27.8143,41.7811,10805.16,False,214.64,302.47,5.2,11178.54,2372,False,0,1783319400
4bc854,PGT48HQ ,Turkey,1783319704,1783319704,27.1448,42.0845,10980.42,False,212.99,293.04,-0.33,11346.18,2372,False,0,1783319704
4bc855,PGT2732 ,Turkey,1783318797,1783318797,29.5922,40.7572,3185.16,False,154.86,103.25,7.15,3299.46,,False,0,1783318799
4bc855,PGT2732 ,Turkey,1783319099,1783319100,30.2824,40.67,5920.74,False,219.54,111.15,6.83,6164.58,,False,0,1783319101
4bc855,PGT2732 ,Turkey,1783319398,1783319399,31.0721,40.4642,8458.2,False,257.57,106.12,5.2,8808.72,,False,0,1783319400
4bc855,PGT2732 ,Turkey,1783319703,1783319703,31.9625,40.2661,10058.4,False,257.66,106.59,0.0,10477.5,,False,0,1783319704
4bc855,PGT2732 ,Turkey,1783319835,1783319893,32.3445,40.1785,10066.02,False,259.09,106.85,0.0,10500.36,,False,0,1783320002
4bc856,PGT274C ,Turkey,1783318495,1783318495,29.4951,41.2785,5242.56,False,195.51,306.12,13.0,5410.2,,False,0,1783318496
4bc856,PGT274C ,Turkey,1783318798,1783318798,28.8414,41.5684,8404.86,False,221.11,300.32,7.48,8717.28,5317,False,0,1783318799
4bc856,PGT274C ,Turkey,1783319100,1783319100,28.1929,41.9321,10401.3,False,218.02,309.93,4.55,10751.82,1000,False,0,1783319101
4bc856,PGT274C ,Turkey,1783319128,1783319399,28.1349,41.9678,10965.18,False,203.36,302.6,5.2,10873.74,1000,False,0,1783319400
